year	gpa	school	name2
1995	3.05	Adelphi	Adelphi
1996	3.06	Adelphi	Adelphi
1997	3.1	Adelphi	Adelphi
1998	3.1	Adelphi	Adelphi
1999	3.11	Adelphi	Adelphi
2000	3.12	Adelphi	Adelphi
2001	3.16	Adelphi	Adelphi
2002	3.17	Adelphi	Adelphi
2003	3.2	Adelphi	Adelphi
2004	3.22	Adelphi	Adelphi
1991	2.59	Alabama	Alabama
1992	2.61	Alabama	Alabama
1993	2.6	Alabama	Alabama
1994	2.66	Alabama	Alabama
1995	2.66	Alabama	Alabama
1996	2.66	Alabama	Alabama
1997	2.65	Alabama	Alabama
1998	2.68	Alabama	Alabama
1999	2.64	Alabama	Alabama
2000	2.68	Alabama	Alabama
2001	2.79	Alabama	Alabama
2002	2.87	Alabama	Alabama
2003	2.98	Alabama	Alabama
2004	3.05	Alabama	Alabama
2005	2.89	Alabama	Alabama
2006	2.9	Alabama	Alabama
2003	3.22	Albion	Albion
2004	3.27	Albion	Albion
2005	3.28	Albion	Albion
2006	3.23	Albion	Albion
2007	3.24	Albion	Albion
2008	3.29	Albion	Albion
2003	2.96	Allegheny	Allegeny
2004	3	Allegheny	Allegeny
2005	3.03	Allegheny	Allegeny
1989	3.28	Amherst	Amherst
1999	3.41	Amherst	Amherst
2006	3.48	Amherst	Amherst
1968	2.39	Appalachianstate	Appalachian.State.University
1969	2.45	Appalachianstate	Appalachian.State.University
1971	2.63	Appalachianstate	Appalachian.State.University
1972	2.7	Appalachianstate	Appalachian.State.University
1973	2.7	Appalachianstate	Appalachian.State.University
1974	2.64	Appalachianstate	Appalachian.State.University
1975	2.56	Appalachianstate	Appalachian.State.University
1976	2.63	Appalachianstate	Appalachian.State.University
1977	2.62	Appalachianstate	Appalachian.State.University
1978	2.6	Appalachianstate	Appalachian.State.University
1979	2.56	Appalachianstate	Appalachian.State.University
1980	2.5	Appalachianstate	Appalachian.State.University
1981	2.5	Appalachianstate	Appalachian.State.University
1982	2.48	Appalachianstate	Appalachian.State.University
1983	2.49	Appalachianstate	Appalachian.State.University
1984	2.46	Appalachianstate	Appalachian.State.University
1985	2.45	Appalachianstate	Appalachian.State.University
1986	2.48	Appalachianstate	Appalachian.State.University
1987	2.54	Appalachianstate	Appalachian.State.University
1988	2.61	Appalachianstate	Appalachian.State.University
1989	2.68	Appalachianstate	Appalachian.State.University
1990	2.7	Appalachianstate	Appalachian.State.University
1991	2.69	Appalachianstate	Appalachian.State.University
1992	2.69	Appalachianstate	Appalachian.State.University
1993	2.73	Appalachianstate	Appalachian.State.University
1994	2.77	Appalachianstate	Appalachian.State.University
1995	2.82	Appalachianstate	Appalachian.State.University
1996	2.87	Appalachianstate	Appalachian.State.University
1997	2.86	Appalachianstate	Appalachian.State.University
1998	2.86	Appalachianstate	Appalachian.State.University
1999	2.86	Appalachianstate	Appalachian.State.University
2000	2.85	Appalachianstate	Appalachian.State.University
2001	2.9	Appalachianstate	Appalachian.State.University
2002	2.9	Appalachianstate	Appalachian.State.University
2003	2.94	Appalachianstate	Appalachian.State.University
2004	2.92	Appalachianstate	Appalachian.State.University
2005	2.91	Appalachianstate	Appalachian.State.University
2006	2.93	Appalachianstate	Appalachian.State.University
1992	2.76	Arkansas	Arkansas
1993	2.84	Arkansas	Arkansas
1994	2.85	Arkansas	Arkansas
1995	2.87	Arkansas	Arkansas
1996	2.87	Arkansas	Arkansas
1997	2.89	Arkansas	Arkansas
1998	2.89	Arkansas	Arkansas
1999	2.91	Arkansas	Arkansas
2000	2.9	Arkansas	Arkansas
2001	2.93	Arkansas	Arkansas
