State,Lake,length,weight
GA,1,170,40
GA,1,175,37
GA,1,175,47
GA,1,180,36
GA,1,180,42
GA,1,183,40
GA,1,183,49
GA,1,185,52
GA,1,185,59
GA,1,188,52
GA,1,190,57
GA,1,190,61
GA,1,192,49
GA,1,193,52
GA,1,193,54
GA,1,195,56
GA,1,195,58
GA,1,195,59
GA,1,195,62
GA,1,195,65
GA,1,196,48
GA,1,196,60
GA,1,196,61
GA,1,197,68
GA,1,198,66
GA,1,199,63
GA,1,199,64
GA,1,200,56
GA,1,200,63
GA,1,201,65
GA,1,202,58
GA,1,202,66
GA,1,202,68
GA,1,205,62
GA,1,205,63
GA,1,205,65
GA,1,205,68
GA,1,205,80
GA,1,206,66
GA,1,206,73
GA,1,207,57
GA,1,207,62
GA,1,207,66
GA,1,208,64
GA,1,208,65
GA,1,208,68
GA,1,209,65
GA,1,210,63
GA,1,210,63
GA,1,210,67
GA,1,210,74
GA,1,210,78
GA,1,211,64
GA,1,211,72
GA,1,211,74
GA,1,211,78
GA,1,212,59
GA,1,212,66
GA,1,212,68
GA,1,212,70
GA,1,212,72
GA,1,212,78
GA,1,213,62
GA,1,214,76
GA,1,215,58
GA,1,215,71
GA,1,215,73
GA,1,215,80
GA,1,215,83
GA,1,216,70
GA,1,216,74
GA,1,216,80
GA,1,216,82
GA,1,217,77
GA,1,217,80
GA,1,217,94
GA,1,218,58
GA,1,218,73
GA,1,218,82
GA,1,220,75
GA,1,220,80
GA,1,220,81
GA,1,220,84
GA,1,220,84
GA,1,220,85
GA,1,220,88
GA,1,220,88
GA,1,220,95
GA,1,221,80
GA,1,221,81
GA,1,221,82
GA,1,222,76
GA,1,222,78
GA,1,222,79
GA,1,222,89
GA,1,222,100
GA,1,223,76
GA,1,223,85
GA,1,224,82
GA,1,224,83
GA,1,224,93
GA,1,224,113
GA,1,225,79
GA,1,225,95
GA,1,226,88
GA,1,226,100
GA,1,227,80
GA,1,227,92
GA,1,228,90
GA,1,228,110
GA,1,229,102
GA,1,230,87
GA,1,230,92
GA,1,230,97
GA,1,230,100
GA,1,230,103
GA,1,231,94
GA,1,231,100
GA,1,232,97
GA,1,232,116
GA,1,233,96
GA,1,233,97
GA,1,233,107
GA,1,233,110
GA,1,234,98
GA,1,235,100
GA,1,235,108
GA,1,236,102
GA,1,236,104
GA,1,236,110
GA,1,236,120
GA,1,237,117
GA,1,240,102
GA,1,240,104
GA,1,240,134
GA,1,241,120
GA,1,241,122
GA,1,242,119
GA,1,243,110
GA,1,243,112
GA,1,243,120
GA,1,244,118
GA,1,245,110
GA,1,245,135
GA,1,245,140
GA,1,246,110
GA,1,246,120
GA,1,246,120
GA,1,246,126
GA,1,247,128
GA,1,248,126
GA,1,248,132
GA,1,250,120
GA,1,250,126
GA,1,250,136
GA,1,250,136
GA,1,252,130
GA,1,253,131
GA,1,254,140
GA,1,254,146
GA,1,255,124
GA,1,255,129
GA,1,255,138
GA,1,255,140
GA,1,256,133
GA,1,256,134
GA,1,256,136
GA,1,256,141
GA,1,257,128
GA,1,258,140
GA,1,259,155
GA,1,260,140
GA,1,260,142
GA,1,261,136
GA,1,261,136
GA,1,264,150
GA,1,265,149
GA,1,265,164
GA,1,266,150
GA,1,266,166
GA,1,267,149
GA,1,267,150
